row_index,document_id,model_name,constraint_type,scope,numerical_value,unit,requirement,match_type,pages_found,highlighted_pages,matching_text_snippets,similarity_score
5430,10,gpt-4o-mini,Jurisdictional,Operational phase,72.0,hours,"If there is a change in the designated operator, you must provide written notice to BOEM and identify the new designated operator within 72 hours on a form approved by BOEM.",none,,,,0.0
5579,10,deepseek-chat,Spatial,U.S. federal waters,1,nautical mile,Offshore wind turbines must maintain a minimum clearance of 1 nautical mile from shipping lanes.,none,,,,0.0
5580,10,gpt-4o-mini,Financial,Lease issuance phase,0.25,dollars per acre,"If your lease is issued non-competitively, the acquisition fee is $0.25 per acre, unless otherwise set by the Director.",none,,,,0.0
5607,10,gemini-1.5-pro,Jurisdictional,Commercial Operations,30.0,days,"You may commence commercial operations or other approved activities 30 days after BSEE receives that certification report, unless BSEE notifies you within that time period of its objections to the certification report.",none,,,,0.0
5613,10,gpt-4o-mini,Safety,Operational phase,12.0,hours,Report within 24 hours when any required equipment taken out of service for more than 12 hours; provide written confirmation if reported orally.,none,,,,0.0
5622,10,gpt-4o-mini,Financial,Commercial generation of electricity phase,0.02,,"Unless BOEM specifies otherwise, in the operating fee rate, 'r' is 0.02 for each year the operating fee applies when you begin commercial generation of electricity.",none,,,,0.0
5647,10,gpt-4o-mini,Financial,"SAP, COP, and decommissioning stages of activities covered by the indemnity agreement.",90.0,days,"Your guarantor must submit the information in the following table, to be updated annually within 90 days of the end of the fiscal year (FY) or as otherwise prescribed.",none,,,,0.0
5648,10,gpt-4o-mini,Jurisdictional,GAP modifications,50.0,,Submit revised or modified GAPs and required additional information.,none,,,,0.0
5668,10,gpt-4o-mini,Safety,Operational phase,12.0,hours,You must report within 24 hours when equipment necessary for implementing your approved plan is removed from service for more than 12 hours.,none,,,,0.0
5673,10,gpt-4o-mini,Financial,National Historic Preservation Act responsibilities,0.5,payment,"If applicable, submit payment for BSEE/BOEM costs in carrying out National Historic Preservation Act responsibilities.",none,,,,0.0
5677,10,gpt-4o-mini,Cultural,Archaeological investigations,10.0,report,"If requested, conduct further archaeological investigations, and submit report/information.",none,,,,0.0
5686,10,gemini-1.5-pro,Jurisdictional,Commercial operations,6.0,months,"If you cease commercial operations for an indefinite period which extends longer than 6 months, we may cancel your lease under § 585.422 and, you must initiate the decommissioning process as set forth in part 285, subpart I, of this title.",none,,,,0.0
5711,10,gemini-1.5-pro,Technical,Operating fee rate for offshore wind energy projects,0.02,,"In the operating fee rate, “r” is 0.02 for each year the operating fee applies when you begin commercial generation of electricity.",none,,,,0.0
5720,10,gpt-4o-mini,Jurisdictional,Lease or grant under § 585.422,6.0,months,"If you cease activities for an indefinite period that exceeds 6 months, BOEM may cancel your lease or grant under § 585.422.",none,,,,0.0
5742,10,gpt-4o-mini,Financial,Financial assurance for offshore wind farm projects.,115.0,percent,You must post 115 percent of your financial assurance amount.,none,,,,0.0
5752,10,gemini-1.5-pro,Spatial,Bottom Disturbances,500.0,feet,"Changes in the locations of bottom disturbances (anchors, chains, etc.) by 500 feet (152 meters) or greater from the approved locations require a revision to the GAP.",none,,,,0.0
5763,10,deepseek-chat,Spatial,Designated traffic separation zones,1,kilometers,Minimum 1km separation required between turbine arrays and shipping lanes,none,,,,0.0
5776,10,gemini-1.5-pro,Jurisdictional,Lease or grant transfer,90.0,days,"Within 90 days after last party executes a transfer agreement, submit copies of a lease or grant assignment application, including originals of each instrument creating or transferring ownership of record title, eligibility, and other qualifications; and evidence that agent is authorized to execute assignment, in format specified.",none,,,,0.0
5791,10,gemini-1.5-pro,Jurisdictional,Lease application process,45.0,days,BOEM will publish in the Federal Register Calls for Information and Nominations for leasing in specified areas.,none,,,,0.0
5809,10,gemini-1.5-pro,Jurisdictional,Lease or grant-specific bond,300000.0,USD,"Execute and provide $300,000 minimum limited lease or grant-specific bond or increase financial assurance and required information.",none,,,,0.0
5811,10,gpt-4o-mini,Safety,Operational phase,90.0,days,"Request reimbursement within 90 days for food, quarters, and transportation provided to BSEE reps during inspection.",none,,,,0.0
5812,10,gpt-4o-mini,Jurisdictional,Commercial operations under the approved COP,6.0,months,"If you cease commercial operations for an indefinite period which extends longer than 6 months, we may cancel your lease under § 585.422.",none,,,,0.0
5815,10,gpt-4o-mini,Jurisdictional,Supplemental or decommissioning bonds submitted under § 585.516,7.0,years,"Your bond will not be released until BOEM determines that you have met all your decommissioning, site clearance, and other obligations.",none,,,,0.0
5847,10,gemini-1.5-pro,Jurisdictional,Competitive Lease Execution,10.0,business days,"Within 10 business days, execute 3 copies of lease form and return to BOEM with required payments, including evidence that agent is authorized to act for bidder; if applicable, submit information to support delay in execution—competitive leases.",none,,,,0.0
5850,10,gpt-4o-mini,Safety,Operational phase,30.0,days,"Submit plan of corrective action report on observed detrimental effects on cable, P/L, or facility within 30 days of discovery; take remedial action and submit report of remedial action within 30 days after completion.",none,,,,0.0
5857,10,gpt-4o-mini,Notification,Deviation from approved COP or GAP,1.0,notice/evidence,"If after construction, cable or pipeline deviate from approved COP or GAP, notify affected lease operators and ROW/RUE grant holders of deviation and provide BOEM evidence of such notices.",none,,,,0.0
5879,10,gpt-4o-mini,Jurisdictional,Decommissioning phase of offshore facilities,60.0,days,"You must submit a written report to BSEE that includes a summary of the removal activities, a description of any mitigation measures you took, and a statement signed by your authorized representative if you used explosives.",none,,,,0.0
5911,10,gemini-2.5-pro,Jurisdictional,Guarantors providing non-public financial information.,90.0,days,"If the guarantor's financial information is not publicly available, it must be submitted and updated annually within 90 days of the end of the fiscal year (FY).",none,,,,0.0
5934,10,gemini-1.5-pro,Jurisdictional,Lease or grant acquisition through sealed bidding,20.0,percent,"For a competitive lease or grant offered through sealed bidding, you must submit a deposit of 20 percent of the total bid amount, unless some other amount is specified in the Final Sale Notice.",none,,,,0.0
5937,10,claude-3-haiku-20240307,Technical,Offshore wind leases issued competitively or noncompetitively,0.02,Unitless rate,"BOEM will specify the operating fee rate, 'r', which is 0.02 for each year the operating fee applies when you begin commercial generation of electricity.",none,,,,0.0
5952,10,deepseek-chat,Spatial,U.S. territorial waters,5,nautical miles,No construction within 5 nautical miles of active shipping lanes.,none,,,,0.0
5961,10,gpt-4o-mini,Jurisdictional,Competitive lease or grant acquisition process,20.0,percent,"You must submit a deposit of 20 percent of the total bid amount, unless some other amount is specified in the Final Sale Notice.",none,,,,0.0
5971,10,deepseek-chat,Technical,Commercial-scale offshore wind farms,0.8,nautical miles,Wind turbines must be spaced at least 0.8 nautical miles apart,none,,,,0.0
5973,10,gemini-1.5-pro,Technical,Lease or grant activities,31.0,,Submit this information no later than March 31 of each year,none,,,,0.0
5981,10,gemini-1.5-pro,Jurisdictional,All leases,3.0,$/acre/year,Initial Rent: $3 per acre per year,none,,,,0.0
5994,10,gemini-1.5-pro,Technical,"Lease or grant agreements, Non-compliance remediation",7.0,days,"When forfeiture of the guaranty is called for, the agreement must provide that your guarantor will either bring your lease(s) or grant(s) into compliance or provide, within 7 days, sufficient funds to permit BOEM to complete corrective action.",none,,,,0.0
5996,10,gpt-4o-mini,Jurisdictional,Lease(s) or grant(s) covered by the agreement,7.0,days,"The agreement must provide that your guarantor will either bring your lease(s) or grant(s) into compliance or provide, within 7 days, sufficient funds to permit BOEM to complete corrective action.",none,,,,0.0
6004,10,gpt-4o-mini,Jurisdictional,Bid rejection decisions,15.0,days,An unsuccessful bidder may apply for reconsideration by the Director within 15 days of the date of the receipt of the notice of rejection.,none,,,,0.0
6048,10,gemini-1.5-pro,Jurisdictional,All leases,3.0,$/acre/year,Subsequent Rent: $3 per acre per year,none,,,,0.0
6079,10,gpt-4o-mini,Jurisdictional,Lease or grant qualifications.,20.0,submissions,Submit evidence of qualifications to hold a lease or grant; submit required supporting information (electronically if required).,none,,,,0.0
6080,10,gpt-4o-mini,Jurisdictional,Renewable Energy Activities,8.0,comments,Submit information in response to Federal Register notice of proposed ROW or RUE grant area or comments on notice of grant auction.,none,,,,0.0
6085,10,gemini-1.5-pro,Jurisdictional,Directives and decisions requiring prior BOEM approval,10.0,business days,BOEM may give oral directives or decisions whenever prior BOEM approval is required under this part. BOEM will document in writing any such oral directives within 10 business days.,none,,,,0.0
6117,10,gpt-4o-mini,Jurisdictional,Reconsideration process for rejected bids in offshore renewable energy leases.,15.0,days,A bidder whose bid we reject may file a written request for reconsideration with the Director within 15 days of the date of the receipt of the notice of rejection.,none,,,,0.0
6121,10,deepseek-chat,Technical,North Atlantic offshore projects,18,meters,Wind turbines must withstand maximum wave heights of 18 meters,none,,,,0.0
6131,10,gpt-4o-mini,Jurisdictional,CVA requirement waiver,40.0,hours,Request waiver of CVA requirement in writing; lessee must demonstrate standard design and best practices.,none,,,,0.0
6138,10,gpt-4o-mini,Safety,Operational phase,15.0,days,You must provide a written report of the following incidents to us within 15 days after the incident.,none,,,,0.0
